date,open,high,low,close,volume,dividends,stock_splits
2022-06-30 00:00:00+05:30,11.8,11.85,10.9,11.56,0.0,0.0,0.0
2022-06-29 00:00:00+05:30,11.29,11.29,11.0,11.29,0.0,0.0,0.0
2022-06-28 00:00:00+05:30,11.38,11.51,10.43,10.76,0.0,0.0,0.0
2022-06-27 00:00:00+05:30,10.49,10.97,10.49,10.97,0.0,0.0,0.0
2022-06-24 00:00:00+05:30,9.9,9.98,9.5,9.98,0.0,0.0,0.0
2022-06-23 00:00:00+05:30,8.68,9.09,8.68,9.08,0.0,0.0,0.0
2022-06-22 00:00:00+05:30,7.8,8.27,7.7,8.27,0.0,0.0,0.0
2022-06-21 00:00:00+05:30,7.99,7.99,7.01,7.52,0.0,0.0,0.0
2022-06-20 00:00:00+05:30,8.49,8.49,7.39,7.52,0.0,0.0,0.0
2022-06-17 00:00:00+05:30,9.2,9.2,8.12,8.21,0.0,0.0,0.0
2022-06-16 00:00:00+05:30,8.51,9.84,8.51,9.0,0.0,0.0,0.0
2022-06-15 00:00:00+05:30,9.2,9.99,8.66,9.05,0.0,0.0,0.0
2022-06-14 00:00:00+05:30,9.05,9.48,9.05,9.15,0.0,0.0,0.0
2022-06-13 00:00:00+05:30,9.7,9.7,8.7,9.05,0.0,0.0,0.0
2022-06-10 00:00:00+05:30,9.2,10.0,9.15,9.58,0.0,0.0,0.0
2022-06-09 00:00:00+05:30,8.8,9.97,8.8,9.45,0.0,0.0,0.0
2022-06-08 00:00:00+05:30,9.6,10.73,9.22,9.5,0.0,0.0,0.0
2022-06-07 00:00:00+05:30,10.65,10.65,9.8,9.99,0.0,0.0,0.0
2022-06-06 00:00:00+05:30,10.19,10.65,9.75,10.24,0.0,0.0,0.0
2022-06-03 00:00:00+05:30,10.15,10.73,10.03,10.2,0.0,0.0,0.0
2022-06-02 00:00:00+05:30,10.4,10.44,9.61,10.32,0.0,0.0,0.0
2022-06-01 00:00:00+05:30,9.35,9.98,9.2,9.98,0.0,0.0,0.0
