date,open,high,low,close,volume,dividends,stock_splits
2022-09-30 00:00:00+05:30,13.35,14.2,13.35,13.86,0.0,0.0,0.0
2022-09-29 00:00:00+05:30,14.34,14.34,13.55,13.96,0.0,0.0,0.0
2022-09-28 00:00:00+05:30,13.65,14.25,13.65,14.05,0.0,0.0,0.0
2022-09-27 00:00:00+05:30,13.5,14.6,13.5,14.15,0.0,0.0,0.0
2022-09-26 00:00:00+05:30,15.24,15.24,13.9,13.92,0.0,0.0,0.0
2022-09-23 00:00:00+05:30,14.58,14.58,14.05,14.58,0.0,0.0,0.0
2022-09-22 00:00:00+05:30,13.23,13.89,13.15,13.89,0.0,0.0,0.0
2022-09-21 00:00:00+05:30,13.22,13.23,12.31,13.23,0.0,0.0,0.0
2022-09-20 00:00:00+05:30,12.55,12.6,11.95,12.6,0.0,0.0,0.0
2022-09-19 00:00:00+05:30,11.0,12.01,11.0,12.0,0.0,0.0,0.0
2022-09-16 00:00:00+05:30,11.89,11.89,11.42,11.44,0.0,0.0,0.0
2022-09-15 00:00:00+05:30,12.55,12.55,11.88,11.98,0.0,0.0,0.0
2022-09-14 00:00:00+05:30,11.85,12.8,11.85,12.48,0.0,0.0,0.0
2022-09-13 00:00:00+05:30,12.83,12.9,12.4,12.42,0.0,0.0,0.0
2022-09-12 00:00:00+05:30,11.73,12.31,11.36,12.31,0.0,0.0,0.0
2022-09-09 00:00:00+05:30,11.73,11.73,10.83,11.73,0.0,0.0,0.0
2022-09-08 00:00:00+05:30,10.7,11.18,10.45,11.18,0.0,0.0,0.0
2022-09-07 00:00:00+05:30,10.2,10.68,10.2,10.65,0.0,0.0,0.0
2022-09-06 00:00:00+05:30,9.73,10.21,9.55,10.18,0.0,0.0,0.0
2022-09-05 00:00:00+05:30,9.5,9.73,9.3,9.73,0.0,0.0,0.0
2022-09-02 00:00:00+05:30,9.05,9.28,8.85,9.27,0.0,0.0,0.0
2022-09-01 00:00:00+05:30,8.81,8.85,8.41,8.84,0.0,0.0,0.0
