date,open,high,low,close,volume,dividends,stock_splits
2021-07-30 00:00:00+05:30,2.45,2.45,2.45,2.45,0.0,0.0,0.0
2021-07-29 00:00:00+05:30,2.34,2.34,2.34,2.34,0.0,0.0,0.0
2021-07-28 00:00:00+05:30,2.23,2.23,2.23,2.23,0.0,0.0,0.0
2021-07-27 00:00:00+05:30,2.13,2.13,2.13,2.13,0.0,0.0,0.0
2021-07-26 00:00:00+05:30,2.03,2.03,2.03,2.03,0.0,0.0,0.0
2021-07-23 00:00:00+05:30,1.94,1.94,1.94,1.94,0.0,0.0,0.0
2021-07-22 00:00:00+05:30,1.85,1.85,1.85,1.85,0.0,0.0,0.0
2021-07-20 00:00:00+05:30,1.77,1.77,1.77,1.77,0.0,0.0,0.0
2021-07-19 00:00:00+05:30,1.69,1.69,1.69,1.69,0.0,0.0,0.0
2021-07-16 00:00:00+05:30,1.61,1.61,1.61,1.61,0.0,0.0,0.0
2021-07-15 00:00:00+05:30,1.54,1.54,1.54,1.54,0.0,0.0,0.0
2021-07-14 00:00:00+05:30,1.47,1.47,1.47,1.47,0.0,0.0,0.0
2021-07-13 00:00:00+05:30,1.4,1.4,1.4,1.4,0.0,0.0,0.0
2021-07-12 00:00:00+05:30,1.34,1.34,1.34,1.34,0.0,0.0,0.0
2021-07-09 00:00:00+05:30,1.28,1.28,1.28,1.28,0.0,0.0,0.0
2021-07-08 00:00:00+05:30,1.22,1.22,1.22,1.22,0.0,0.0,0.0
2021-07-07 00:00:00+05:30,1.17,1.17,1.17,1.17,0.0,0.0,0.0
2021-07-06 00:00:00+05:30,1.12,1.12,1.12,1.12,0.0,0.0,0.0
2021-07-05 00:00:00+05:30,1.07,1.07,1.07,1.07,0.0,0.0,0.0
2021-07-02 00:00:00+05:30,1.02,1.02,1.02,1.02,0.0,0.0,0.0
2021-07-01 00:00:00+05:30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
