date,open,high,low,close,volume,dividends,stock_splits
2021-05-31 00:00:00+05:30,0.59,0.59,0.59,0.59,0.0,0.0,0.0
2021-05-28 00:00:00+05:30,0.57,0.57,0.57,0.57,0.0,0.0,0.0
2021-05-27 00:00:00+05:30,0.55,0.55,0.55,0.55,0.0,0.0,0.0
2021-05-26 00:00:00+05:30,0.52,0.53,0.49,0.53,0.0,0.0,0.0
2021-05-25 00:00:00+05:30,0.5,0.51,0.5,0.51,0.0,0.0,0.0
2021-05-24 00:00:00+05:30,0.5,0.5,0.48,0.49,0.0,0.0,0.0
2021-05-21 00:00:00+05:30,0.46,0.48,0.46,0.48,0.0,0.0,0.0
2021-05-20 00:00:00+05:30,0.46,0.46,0.45,0.46,0.0,0.0,0.0
2021-05-19 00:00:00+05:30,0.44,0.44,0.44,0.44,0.0,0.0,0.0
2021-05-18 00:00:00+05:30,0.42,0.42,0.42,0.42,0.0,0.0,0.0
2021-05-17 00:00:00+05:30,0.4,0.4,0.38,0.4,0.0,0.0,0.0
2021-05-14 00:00:00+05:30,0.39,0.39,0.39,0.39,0.0,0.0,0.0
2021-05-12 00:00:00+05:30,0.38,0.38,0.38,0.38,0.0,0.0,0.0
2021-05-11 00:00:00+05:30,0.36,0.37,0.36,0.37,0.0,0.0,0.0
2021-05-10 00:00:00+05:30,0.36,0.36,0.34,0.36,0.0,0.0,0.0
2021-05-07 00:00:00+05:30,0.34,0.35,0.34,0.35,0.0,0.0,0.0
2021-05-06 00:00:00+05:30,0.34,0.34,0.33,0.34,0.0,0.0,0.0
2021-05-05 00:00:00+05:30,0.32,0.33,0.31,0.33,0.0,0.0,0.0
2021-05-04 00:00:00+05:30,0.32,0.32,0.31,0.32,0.0,0.0,0.0
2021-05-03 00:00:00+05:30,0.3,0.32,0.3,0.32,0.0,0.0,0.0
