date,open,high,low,close,volume,dividends,stock_splits
2022-01-31 00:00:00+05:30,2.17,2.17,2.17,2.17,0.0,0.0,0.0
2022-01-28 00:00:00+05:30,2.28,2.28,2.28,2.28,0.0,0.0,0.0
2022-01-27 00:00:00+05:30,2.4,2.4,2.4,2.4,0.0,0.0,0.0
2022-01-25 00:00:00+05:30,2.52,2.52,2.52,2.52,0.0,0.0,0.0
2022-01-24 00:00:00+05:30,2.65,2.65,2.65,2.65,0.0,0.0,0.0
2022-01-21 00:00:00+05:30,3.06,3.06,2.78,2.78,0.0,0.0,0.0
2022-01-20 00:00:00+05:30,2.92,2.92,2.92,2.92,0.0,0.0,0.0
2022-01-19 00:00:00+05:30,2.79,2.79,2.59,2.79,0.0,0.0,0.0
2022-01-18 00:00:00+05:30,2.66,2.66,2.66,2.66,0.0,0.0,0.0
2022-01-17 00:00:00+05:30,2.54,2.54,2.54,2.54,0.0,0.0,0.0
2022-01-14 00:00:00+05:30,2.42,2.42,2.42,2.42,0.0,0.0,0.0
2022-01-13 00:00:00+05:30,2.09,2.31,2.09,2.31,0.0,0.0,0.0
2022-01-12 00:00:00+05:30,2.2,2.2,2.2,2.2,0.0,0.0,0.0
2022-01-11 00:00:00+05:30,2.1,2.1,2.1,2.1,0.0,0.0,0.0
2022-01-10 00:00:00+05:30,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2022-01-07 00:00:00+05:30,1.91,1.91,1.91,1.91,0.0,0.0,0.0
2022-01-06 00:00:00+05:30,1.82,1.82,1.82,1.82,0.0,0.0,0.0
2022-01-05 00:00:00+05:30,1.74,1.74,1.74,1.74,0.0,0.0,0.0
2022-01-04 00:00:00+05:30,1.66,1.66,1.66,1.66,0.0,0.0,0.0
2022-01-03 00:00:00+05:30,1.59,1.59,1.59,1.59,0.0,0.0,0.0
