date,open,high,low,close,volume,dividends,stock_splits
2024-09-02 00:00:00+05:30,164.9,164.9,158.8,161.35,3418,0.0,0.0
2024-09-03 00:00:00+05:30,161.5,163.9,160.7,162.2,2615,0.0,0.0
2024-09-04 00:00:00+05:30,163.5,164.0,160.1,162.15,2243,0.0,0.0
2024-09-05 00:00:00+05:30,161.0,163.9,158.7,160.7,3315,0.0,0.0
2024-09-06 00:00:00+05:30,163.0,163.5,159.0,161.55,4657,0.0,0.0
2024-09-09 00:00:00+05:30,158.0,166.0,158.0,162.4,5460,0.0,0.0
2024-09-10 00:00:00+05:30,163.9,163.9,160.25,162.35,1372,0.0,0.0
2024-09-11 00:00:00+05:30,160.25,163.5,160.0,161.05,2078,0.0,0.0
2024-09-12 00:00:00+05:30,161.5,165.5,150.0,161.35,5674,0.0,0.0
2024-09-13 00:00:00+05:30,160.1,162.95,160.1,161.45,2019,0.0,0.0
