date,open,high,low,close,volume,dividends,stock_splits
2024-09-13 00:00:00+05:30,41.51,43.0,41.51,43.0,0.0,0.0,0.0
2024-09-12 00:00:00+05:30,43.9,43.9,42.35,42.35,0.0,0.0,0.0
2024-09-11 00:00:00+05:30,43.5,43.5,43.0,43.21,0.0,0.0,0.0
2024-09-10 00:00:00+05:30,43.76,43.77,43.0,43.5,0.0,0.0,0.0
2024-09-09 00:00:00+05:30,43.5,43.5,42.66,43.0,0.0,0.0,0.0
2024-09-06 00:00:00+05:30,44.1,44.1,43.53,43.53,0.0,0.0,0.0
2024-09-05 00:00:00+05:30,44.0,44.21,44.0,44.21,0.0,0.0,0.0
2024-09-04 00:00:00+05:30,44.79,44.89,44.79,44.83,0.0,0.0,0.0
2024-09-03 00:00:00+05:30,45.8,45.9,45.7,45.7,0.0,0.0,0.0
2024-09-02 00:00:00+05:30,46.3,46.38,45.8,45.8,0.0,0.0,0.0
