date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price
2022-01-06 00:00:00,Trident,533.5,NSE,EQ,521064,Equity,,,0,11:25:00,Buy,10,53.35
2022-01-06 00:00:00,RattanIndia Power,2220,NSE,EQ,533122,Equity,,,0,10:09:00,Buy,300,7.4
2022-01-06 00:00:00,RattanIndia Power,43.8,NSE,EQ,533122,Equity,,,0,10:08:00,Buy,6,7.3
2022-01-06 00:00:00,Suzlon Energy,388,NSE,EQ,532667,Equity,,,0,09:43:00,Buy,40,9.7
2022-01-06 00:00:00,Suzlon Energy,96,NSE,EQ,532667,Equity,,,0,09:41:00,Buy,10,9.6
2022-01-06 00:00:00,Suzlon Energy,97.5,NSE,EQ,532667,Equity,,,0,09:41:00,Buy,10,9.75
2022-01-06 00:00:00,Suzlon Energy,96,NSE,EQ,532667,Equity,,,0,09:39:00,Buy,10,9.6
2022-01-06 00:00:00,Brightcom Group,773,NSE,EQ,532368,Equity,,,0,09:17:00,Buy,5,154.6
2022-01-06 00:00:00,Brightcom Group,6032,NSE,EQ,532368,Equity,,,0,09:15:00,Buy,40,150.8
2022-01-06 00:00:00,Brightcom Group,1500,NSE,EQ,532368,Equity,,,0,09:09:00,Buy,10,150
2022-01-05 00:00:00,FCS Software Solutions,972,NSE,EQ,532666,Equity,,,0,09:28:00,Buy,150,6.48
2022-01-05 00:00:00,Vikas Lifecare,460,NSE,EQ,542655,Equity,,,0,09:20:00,Buy,100,4.6
2022-01-04 00:00:00,Suzlon Energy,816,NSE,EQ,532667,Equity,,,0,12:25:00,Buy,80,10.2
2022-01-04 00:00:00,Suzlon Energy,51,NSE,EQ,532667,Equity,,,0,12:25:00,Buy,5,10.2
2022-01-04 00:00:00,Urja Global,1140,NSE,EQ,526987,Equity,,,0,12:23:00,Buy,50,22.8
2022-01-04 00:00:00,Suzlon Energy,212,NSE,EQ,532667,Equity,,,0,09:43:00,Buy,20,10.6
2022-01-04 00:00:00,RattanIndia Enterprises,1032,NSE,EQ,534597,Equity,,,0,09:18:00,Buy,20,51.6
2022-01-03 00:00:00,Gita Renewable Energy,1332,NSE,EQ,539013,Equity,,,0,09:39:00,Buy,5,266.4
2022-01-03 00:00:00,Trident,537.5,NSE,EQ,521064,Equity,,,0,09:36:00,Buy,10,53.75
2022-01-03 00:00:00,Cressanda Railway Solutions,475.3,NSE,EQ,512379,Equity,,,0,09:33:00,Buy,70,6.79
2022-01-03 00:00:00,RattanIndia Power,770,NSE,EQ,533122,Equity,,,0,09:30:00,Buy,100,7.7
2022-01-03 00:00:00,Capital Trade Links,4160.16,NSE,EQ,538476,Equity,,,0,09:26:00,Sell,324,12.84
2022-01-03 00:00:00,RattanIndia Power,382.5,NSE,EQ,533122,Equity,,,0,09:22:00,Buy,50,7.65
2021-12-31 00:00:00,KPIT Technologies,6123,NSE,EQ,542651,Equity,,,0,13:50:00,Buy,10,612.3
2021-12-31 00:00:00,Viji Finance,312.5,NSE,EQ,537820,Equity,,,0,13:22:00,Buy,50,6.25
2021-12-31 00:00:00,Viji Finance,312.5,NSE,EQ,537820,Equity,,,0,13:21:00,Buy,50,6.25
2021-12-31 00:00:00,K.P. Energy Limited,2283,NSE,EQ,539686,Equity,,,0,10:10:00,Buy,10,228.3
2021-12-31 00:00:00,Cressanda Railway Solutions,64.7,NSE,EQ,512379,Equity,,,0,09:25:00,Buy,10,6.47
2021-12-31 00:00:00,Cressanda Railway Solutions,1294,NSE,EQ,512379,Equity,,,0,09:24:00,Buy,200,6.47
2021-12-30 00:00:00,Cressanda Railway Solutions,6.17,NSE,EQ,512379,Equity,,,0,10:23:00,Buy,1,6.17
2021-12-30 00:00:00,Cressanda Railway Solutions,117.23,NSE,EQ,512379,Equity,,,0,10:15:00,Buy,19,6.17
2021-12-29 00:00:00,Suzlon Energy,223.75,NSE,EQ,532667,Equity,,,0,11:40:00,Buy,25,8.95
2021-12-29 00:00:00,RattanIndia Power,337.5,NSE,EQ,533122,Equity,,,0,11:35:00,Buy,50,6.75
2021-12-29 00:00:00,RattanIndia Enterprises,1924,NSE,EQ,534597,Equity,,,0,10:56:00,Buy,40,48.1
2021-12-29 00:00:00,Jaiprakash Power Ventures,332.5,NSE,EQ,532627,Equity,,,0,09:32:00,Buy,50,6.65
2021-12-29 00:00:00,Prakash Steelage,302.5,NSE,EQ,533239,Equity,,,0,09:27:00,Buy,50,6.05
2021-12-28 00:00:00,Prakash Steelage,922.5,NSE,EQ,533239,Equity,,,0,15:48:00,Buy,150,6.15
2021-12-28 00:00:00,Sword-Edge Commercials,252,NSE,EQ,512359,Equity,,,0,09:37:00,Buy,200,1.26
2021-12-27 00:00:00,RattanIndia Enterprises,460,NSE,EQ,534597,Equity,,,0,10:48:00,Buy,10,46
2021-12-27 00:00:00,K.P. Energy Limited,4742,NSE,EQ,539686,Equity,,,0,09:52:00,Buy,20,237.1
2021-12-27 00:00:00,Capital Trade Links,5375,NSE,EQ,538476,Equity,,,0,09:15:00,Sell,500,10.75
2021-12-24 00:00:00,Urja Global,850,NSE,EQ,526987,Equity,,,0,16:04:00,Buy,50,17
2021-12-24 00:00:00,Data Patterns (India),1592,NSE,EQ,543428,Equity,,,0,10:11:00,Buy,2,796
2021-12-24 00:00:00,Sword-Edge Commercials,230,NSE,EQ,512359,Equity,,,0,09:53:00,Buy,200,1.15
2021-12-24 00:00:00,Brightcom Group,4000,NSE,EQ,532368,Equity,,,0,09:42:00,Buy,20,200
2021-12-24 00:00:00,Tata Teleservices (Maharashtra),8090,NSE,EQ,532371,Equity,,,0,09:16:00,Buy,50,161.8
2021-12-23 00:00:00,Tata Teleservices (Maharashtra),1541,NSE,EQ,532371,Equity,,,0,10:23:00,Buy,10,154.1
2021-12-23 00:00:00,Punjab National Bank,75.9,NSE,EQ,532461,Equity,,,0,09:45:00,Sell,2,37.95
2021-12-23 00:00:00,Sintex Industries,10101,NSE,EQ,502742,Equity,,,0,09:17:00,Sell,740,13.65
2021-12-22 00:00:00,Prakash Steelage,50,NSE,EQ,533239,Equity,,,0,10:05:00,Buy,10,5
2021-12-22 00:00:00,Prakash Steelage,49.5,NSE,EQ,533239,Equity,,,0,10:03:00,Buy,10,4.95
2021-12-22 00:00:00,Brightcom Group,3717,NSE,EQ,532368,Equity,,,0,09:41:00,Buy,20,185.85
2021-12-22 00:00:00,Exide Industries,7965,NSE,EQ,500086,Equity,,,0,09:18:00,Sell,50,159.3
2021-12-22 00:00:00,Exide Industries,7912.5,NSE,EQ,500086,Equity,,,0,09:16:00,Buy,50,158.25
2021-12-21 00:00:00,Tata Power Company,4293,NSE,EQ,500400,Equity,,,0,13:09:00,Buy,20,214.65
2021-12-21 00:00:00,HFCL,1154.25,NSE,EQ,500183,Equity,,,0,11:34:00,Buy,15,76.95
2021-12-21 00:00:00,Prakash Steelage,52,NSE,EQ,533239,Equity,,,0,11:14:00,Buy,10,5.2
