date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2022-01-29,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.3,87.6,7.51,90.12,7.02,84.24,7.48,89.76
2022-01-29,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,497.02,4970.2,506.17,5061.7,492.45,4924.5,494.34,4943.4
2022-01-29,EQ,NSE,WIPRO,WIPRO LTD.,10.0,580.5,5805.0,542.96,5429.6,557.77,5577.7,540.29,5402.9,545.13,5451.3
2022-01-29,EQ,NSE,ZOMATO,ZOMATO LIMITED,98.0,94.92,9301.75,93.6,9172.8,96.45,9452.1,88.8,8702.4,89.55,8775.9
2022-01-30,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.3,87.6,7.51,90.12,7.02,84.24,7.48,89.76
2022-01-30,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,497.02,4970.2,506.17,5061.7,492.45,4924.5,494.34,4943.4
2022-01-30,EQ,NSE,WIPRO,WIPRO LTD.,10.0,580.5,5805.0,542.96,5429.6,557.77,5577.7,540.29,5402.9,545.13,5451.3
2022-01-30,EQ,NSE,ZOMATO,ZOMATO LIMITED,98.0,94.92,9301.75,93.6,9172.8,96.45,9452.1,88.8,8702.4,89.55,8775.9
2022-01-31,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.3,87.6,7.51,90.12,7.02,84.24,7.48,89.76
2022-01-31,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,497.02,4970.2,506.17,5061.7,492.45,4924.5,494.34,4943.4
2022-01-31,EQ,NSE,WIPRO,WIPRO LTD.,10.0,580.5,5805.0,542.96,5429.6,557.77,5577.7,540.29,5402.9,545.13,5451.3
2022-01-31,EQ,NSE,ZOMATO,ZOMATO LIMITED,98.0,94.92,9301.75,93.6,9172.8,96.45,9452.1,88.8,8702.4,89.55,8775.9
2022-02-01,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.0,84.0,7.19,86.28,6.76,81.12,6.82,81.84
2022-02-01,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,503.88,5038.8,511.48,5114.8,490.16,4901.6,501.2,5012.0
2022-02-01,EQ,NSE,WIPRO,WIPRO LTD.,10.0,580.5,5805.0,572.53,5725.3,574.55,5745.5,559.1,5591.0,569.42,5694.2
2022-02-01,EQ,NSE,ZOMATO,ZOMATO LIMITED,98.0,94.92,9301.75,91.75,8991.5,95.8,9388.4,91.05,8922.9,94.55,9265.9
2022-02-02,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,6.7,80.4,7.14,85.68,6.6,79.2,6.93,83.16
